Source IP          Destination IP     Flow Size
100.113.15.27      92.168.239.72      13           
100.113.15.53      243.171.132.13     1            
100.113.16.211     243.171.132.15     1            
100.113.16.219     243.171.134.239    1            
100.113.16.52      243.171.134.201    1            
100.113.18.20      243.171.134.201    1            
100.113.18.242     243.171.132.8      1            
100.113.19.202     243.171.134.239    1            
100.113.2.217      243.171.134.193    1            
100.113.20.13      243.171.134.204    1            
100.113.20.253     243.171.134.204    1            
100.113.20.55      243.171.132.7      1            
100.113.20.70      243.171.132.4      1            
100.113.21.224     243.171.132.86     1            
100.113.22.127     243.171.132.6      1            
100.113.22.21      243.171.132.0      2            
100.113.22.5       243.171.132.82     1            
100.113.23.102     243.171.134.202    1            
100.113.23.105     243.171.134.200    1            
100.113.23.180     243.171.134.226    1            
100.113.23.241     243.171.132.9      1            
100.113.23.46      6.227.131.118      2            
100.113.23.74      243.171.134.204    1            
100.113.24.117     243.171.134.226    1            
100.113.24.132     243.171.134.238    1            
100.113.24.231     243.171.134.200    1            
100.113.24.92      243.171.132.70     1            
100.113.25.194     243.171.132.86     1            
100.113.25.244     243.171.132.83     1            
100.113.26.74      243.171.134.200    1            
100.113.27.182     243.171.132.4      1            
100.113.27.79      243.171.134.192    1            
100.113.28.63      98.3.183.157       1            
100.113.29.161     97.73.44.212       8            
100.113.29.195     129.1.60.144       1            
100.113.31.128     243.171.134.238    1            
100.113.31.156     137.72.4.5         1            
100.113.31.180     56.148.70.113      5            
100.113.31.226     102.80.60.205      1            
100.113.31.226     129.1.60.144       1            
100.113.4.113      97.66.215.100      5            
100.113.4.163      56.148.70.113      11           
100.113.5.39       80.41.250.188      20           
100.113.6.18       243.171.134.204    1            
100.113.7.125      243.171.132.69     1            
100.113.7.202      243.171.132.4      1            
100.113.8.57       243.171.132.66     1            
100.113.9.0        243.171.134.230    1            
100.113.9.91       56.148.70.113      6            
100.114.0.10       0.195.210.44       8            
100.114.0.97       144.85.170.246     17           
100.114.10.99      243.171.132.71     1            
100.114.11.106     144.85.170.208     6            
100.114.11.106     144.85.170.254     36           
100.114.11.108     243.171.132.71     1            
100.114.128.205    213.159.184.186    15           
100.114.129.243    139.163.93.30      4            
100.114.133.65     82.197.42.89       5            
100.114.134.13     220.20.200.255     5            
100.114.134.13     92.162.252.161     5            
100.114.134.13     92.162.252.215     10           
100.114.134.13     92.162.252.253     5            
100.114.134.13     92.162.253.34      10           
100.114.134.13     92.162.253.90      5            
100.114.134.37     136.42.190.90      5            
100.114.135.41     108.166.118.14     60           
100.114.138.113    144.84.155.109     8            
100.114.138.192    6.96.43.238        16           
100.114.139.33     98.3.227.207       6            
100.114.140.110    248.239.141.33     74           
100.114.140.45     133.23.234.47      5            
100.114.141.33     192.65.96.31       10           
100.114.144.148    136.129.22.220     36           
100.114.144.183    144.56.140.142     13           
100.114.144.238    221.116.131.214    16           
100.114.151.102    102.83.223.123     18           
100.114.151.117    82.196.0.204       33           
100.114.151.17     100.182.96.211     25           
100.114.151.17     192.64.182.239     1258         
100.114.151.172    97.120.117.234     69           
100.114.151.199    145.57.218.116     55           
100.114.151.2      100.167.164.50     189          
100.114.151.203    136.129.30.179     5            
100.114.151.221    145.232.88.176     7            
100.114.151.229    91.69.163.48       2            
100.114.151.243    82.196.139.168     9            
100.114.151.35     6.138.205.118      132          
